protocol,port,description
UDP,3678,DataGuardianLT
TCP,3679,Newton Dock
UDP,3679,Newton Dock
TCP,3680,NPDS Tracker
UDP,3680,NPDS Tracker
TCP,3681,BTS X73 Port
UDP,3681,BTS X73 Port
TCP,3682,EMC SmartPackets-MAPI
UDP,3682,EMC SmartPackets-MAPI
TCP,3683,BMC EDV/EA
UDP,3683,BMC EDV/EA
TCP,3684,FAXstfX
UDP,3684,FAXstfX
TCP,3685,DS Expert Agent
UDP,3685,DS Expert Agent
TCP,3686,Trivial Network Management
UDP,3686,Trivial Network Management
TCP,3687,simple-push
UDP,3687,simple-push
TCP,3688,simple-push Secure
UDP,3688,simple-push Secure
TCP,3689,Digital Audio Access Protocol (iTunes)
UDP,3689,Digital Audio Access Protocol (iTunes)
TCP,3690,Subversion
UDP,3690,Subversion
TCP,3691,Magaya Network Port
UDP,3691,Magaya Network Port
TCP,3692,Brimstone IntelSync
UDP,3692,Brimstone IntelSync
TCP,3693,Emergency Automatic Structure Lockdown System
UDP,3693,Reserved
TCP,3695,BMC Data Collection
UDP,3695,BMC Data Collection
TCP,3696,Telnet Com Port Control
UDP,3696,Telnet Com Port Control
TCP,3697,NavisWorks License System
UDP,3697,NavisWorks License System
TCP,3698,SAGECTLPANEL
UDP,3698,SAGECTLPANEL
TCP,3699,Internet Call Waiting
UDP,3699,Internet Call Waiting
TCP,3700,LRS NetPage
UDP,3700,LRS NetPage
TCP,3701,NetCelera
UDP,3701,NetCelera
TCP,3702,Web Service Discovery
UDP,3702,Web Service Discovery
TCP,3703,Adobe Server 3
UDP,3703,Adobe Server 3
TCP,3704,Adobe Server 4
UDP,3704,Adobe Server 4
TCP,3705,Adobe Server 5
UDP,3705,Adobe Server 5
TCP,3706,Real-Time Event Port
UDP,3706,Real-Time Event Port
TCP,3707,Real-Time Event Secure Port
UDP,3707,Real-Time Event Secure Port
TCP,3708,Sun App Svr - Naming
UDP,3708,Sun App Svr - Naming
TCP,3709,CA-IDMS Server
UDP,3709,CA-IDMS Server
TCP,3710,PortGate Authentication
UDP,3710,PortGate Authentication
TCP,3711,EBD Server 2
UDP,3711,EBD Server 2
TCP,3712,Sentinel Enterprise
UDP,3712,Sentinel Enterprise
TCP,3713,TFTP over TLS
UDP,3713,TFTP over TLS
TCP,3714,DELOS Direct Messaging
UDP,3714,DELOS Direct Messaging
TCP,3715,Anoto Rendezvous Port
UDP,3715,Anoto Rendezvous Port
TCP,3716,WV CSP SMS CIR Channel
UDP,3716,WV CSP SMS CIR Channel
TCP,3717,WV CSP UDP/IP CIR Channel
UDP,3717,WV CSP UDP/IP CIR Channel
TCP,3718,OPUS Server Port
UDP,3718,OPUS Server Port
TCP,3719,iTel Server Port
UDP,3719,iTel Server Port
TCP,3720,UF Astro. Instr. Services
UDP,3720,UF Astro. Instr. Services
TCP,3721,Xsync
UDP,3721,Xsync
TCP,3722,Xserve RAID
UDP,3722,Xserve RAID
TCP,3723,Sychron Service Daemon
UDP,3723,Sychron Service Daemon
TCP,3724,World of Warcraft
UDP,3724,World of Warcraft
TCP,3725,Netia NA-ER Port
UDP,3725,Netia NA-ER Port
TCP,3726,Xyratex Array Manager
UDP,3726,Xyratex Array Manager
TCP,3727,Ericsson Mobile Data Unit
UDP,3727,Ericsson Mobile Data Unit
TCP,3728,Ericsson Web on Air
UDP,3728,Ericsson Web on Air
TCP,3729,Fireking Audit Port
UDP,3729,Fireking Audit Port
TCP,3730,Client Control
UDP,3730,Client Control
TCP,3731,Service Manager
UDP,3731,Service Manager
TCP,3732,Mobile Wnn
UDP,3732,Mobile Wnn
TCP,3733,Multipuesto Msg Port
UDP,3733,Multipuesto Msg Port
TCP,3734,Synel Data Collection Port
UDP,3734,Synel Data Collection Port
TCP,3735,Password Distribution
UDP,3735,Password Distribution
TCP,3736,RealSpace RMI
UDP,3736,RealSpace RMI
TCP,3737,XPanel Daemon
UDP,3737,Reserved
TCP,3738,versaTalk Server Port
UDP,3738,versaTalk Server Port
TCP,3739,Launchbird LicenseManager
UDP,3739,Launchbird LicenseManager
TCP,3740,Heartbeat Protocol
UDP,3740,Heartbeat Protocol
TCP,3741,WysDM Agent
UDP,3741,WysDM Agent
TCP,3742,CST - Configuration & Service Tracker
UDP,3742,CST - Configuration & Service Tracker
TCP,3743,IP Control Systems Ltd.
UDP,3743,IP Control Systems Ltd.
TCP,3744,SASG
UDP,3744,SASG
TCP,3745,GWRTC Call Port
UDP,3745,GWRTC Call Port
TCP,3746,LXPRO.COM LinkTest
UDP,3746,LXPRO.COM LinkTest
TCP,3747,LXPRO.COM LinkTest SSL
UDP,3747,LXPRO.COM LinkTest SSL
TCP,3748,webData
UDP,3748,webData
TCP,3749,CimTrak
UDP,3749,CimTrak
TCP,3750,CBOS/IP ncapsalation port
UDP,3750,CBOS/IP ncapsalation port
TCP,3751,CommLinx GPRS Cube
UDP,3751,CommLinx GPRS Cube
TCP,3752,Vigil-IP RemoteAgent
UDP,3752,Vigil-IP RemoteAgent
TCP,3753,NattyServer Port
UDP,3753,NattyServer Port
TCP,3754,TimesTen Broker Port
UDP,3754,TimesTen Broker Port
TCP,3755,SAS Remote Help Server
UDP,3755,SAS Remote Help Server
TCP,3756,Canon CAPT Port
UDP,3756,Canon CAPT Port
TCP,3757,GRF Server Port
UDP,3757,GRF Server Port
TCP,3758,apw RMI registry
UDP,3758,apw RMI registry
TCP,3759,Exapt License Manager
UDP,3759,Exapt License Manager
TCP,3760,adTempus Client
UDP,3760,adTEmpus Client
TCP,3761,gsakmp port
UDP,3761,gsakmp port
TCP,3762,GBS SnapMail Protocol
UDP,3762,GBS SnapMail Protocol
TCP,3763,XO Wave Control Port
UDP,3763,XO Wave Control Port
TCP,3764,MNI Protected Routing
UDP,3764,MNI Protected Routing
TCP,3765,Remote Traceroute
UDP,3765,Remote Traceroute
TCP,3766,SSL e-watch sitewatch server
UDP,3766,Reserved
TCP,3767,ListMGR Port
UDP,3767,ListMGR Port
TCP,3768,rblcheckd server daemon
UDP,3768,rblcheckd server daemon
TCP,3769,HAIPE Network Keying
UDP,3769,HAIPE Network Keying
TCP,3770,Cinderella Collaboration
UDP,3770,Cinderella Collaboration
TCP,3771,RTP Paging Port
UDP,3771,RTP Paging Port
TCP,3772,Chantry Tunnel Protocol
UDP,3772,Chantry Tunnel Protocol
TCP,3773,ctdhercules
UDP,3773,ctdhercules
TCP,3774,ZICOM
UDP,3774,ZICOM
TCP,3775,ISPM Manager Port
UDP,3775,ISPM Manager Port
TCP,3776,Device Provisioning Port
UDP,3776,Device Provisioning Port
TCP,3777,Jibe EdgeBurst
UDP,3777,Jibe EdgeBurst
TCP,3778,Cutler-Hammer IT Port
UDP,3778,Cutler-Hammer IT Port
TCP,3779,Cognima Replication
UDP,3779,Cognima Replication
TCP,3780,Nuzzler Network Protocol
UDP,3780,Nuzzler Network Protocol
TCP,3781,ABCvoice server port
UDP,3781,ABCvoice server port
TCP,3782,Secure ISO TP0 port
UDP,3782,Secure ISO TP0 port
TCP,3783,Impact Mgr./PEM Gateway
UDP,3783,Impact Mgr./PEM Gateway
TCP,3784,BFD Control Protocol
UDP,3784,BFD Control Protocol
TCP,3785,BFD Echo Protocol
UDP,3785,BFD Echo Protocol
TCP,3786,VSW Upstrigger port
UDP,3786,VSW Upstrigger port
TCP,3787,Fintrx
UDP,3787,Fintrx
TCP,3788,SPACEWAY Routing port
UDP,3788,SPACEWAY Routing port
TCP,3789,RemoteDeploy Administration Port [July 2003]
UDP,3789,RemoteDeploy Administration Port [July 2003]
TCP,3790,QuickBooks RDS
UDP,3790,QuickBooks RDS
TCP,3791,TV NetworkVideo Data port
UDP,3791,TV NetworkVideo Data port
TCP,3792,e-Watch Corporation SiteWatch
UDP,3792,e-Watch Corporation SiteWatch
TCP,3793,DataCore Software
UDP,3793,DataCore Software
TCP,3794,JAUS Robots
UDP,3794,JAUS Robots
TCP,3795,myBLAST Mekentosj port
UDP,3795,myBLAST Mekentosj port
TCP,3796,Spaceway Dialer
UDP,3796,Spaceway Dialer
TCP,3797,idps
UDP,3797,idps
TCP,3798,Minilock
UDP,3798,Minilock
TCP,3799,RADIUS Dynamic Authorization
UDP,3799,RADIUS Dynamic Authorization
TCP,3800,Print Services Interface
UDP,3800,Print Services Interface
TCP,3801,ibm manager service
UDP,3801,ibm manager service
TCP,3802,VHD
UDP,3802,VHD
TCP,3803,SoniqSync
UDP,3803,SoniqSync
TCP,3804,Harman IQNet Port
UDP,3804,Harman IQNet Port
TCP,3805,ThorGuard Server Port
UDP,3805,ThorGuard Server Port
TCP,3806,Remote System Manager
UDP,3806,Remote System Manager
TCP,3807,SpuGNA Communication Port
UDP,3807,SpuGNA Communication Port
TCP,3808,Sun App Svr-IIOPClntAuth
UDP,3808,Sun App Svr-IIOPClntAuth
TCP,3809,Java Desktop System Configuration Agent
UDP,3809,Java Desktop System Configuration Agent
TCP,3810,WLAN AS server
UDP,3810,WLAN AS server
TCP,3811,AMP
UDP,3811,AMP
TCP,3812,netO WOL Server
UDP,3812,netO WOL Server
TCP,3813,Rhapsody Interface Protocol
UDP,3813,Rhapsody Interface Protocol
TCP,3814,netO DCS
UDP,3814,netO DCS
TCP,3815,LANsurveyor XML
UDP,3815,LANsurveyor XML
TCP,3816,Sun Local Patch Server
UDP,3816,Sun Local Patch Server
TCP,3817,Yosemite Tech Tapeware
UDP,3817,Yosemite Tech Tapeware
TCP,3818,Crinis Heartbeat
UDP,3818,Crinis Heartbeat
TCP,3819,EPL Sequ Layer Protocol
UDP,3819,EPL Sequ Layer Protocol
TCP,3820,Siemens AuD SCP
UDP,3820,Siemens AuD SCP
TCP,3821,ATSC PMCP Standard
UDP,3821,ATSC PMCP Standard
TCP,3822,Compute Pool Discovery
UDP,3822,Compute Pool Discovery
TCP,3823,Compute Pool Conduit
UDP,3823,Compute Pool Conduit
TCP,3824,Compute Pool Policy
UDP,3824,Compute Pool Policy
TCP,3825,Antera FlowFusion Process Simulation
UDP,3825,Antera FlowFusion Process Simulation
TCP,3826,WarMUX game server
UDP,3826,WarMUX game server
TCP,3827,Netadmin Systems MPI service
UDP,3827,Netadmin Systems MPI service
TCP,3828,Netadmin Systems Event Handler
UDP,3828,Netadmin Systems Event Handler
TCP,3829,Netadmin Systems Event Handler External
UDP,3829,Netadmin Systems Event Handler External
TCP,3830,Cerner System Management Agent
UDP,3830,Cerner System Management Agent
TCP,3831,Docsvault Application Service
UDP,3831,Docsvault Application Service
TCP,3832,xxNETserver
UDP,3832,xxNETserver
TCP,3833,AIPN LS Authentication
UDP,3833,AIPN LS Authentication
TCP,3834,Spectar Data Stream Service
UDP,3834,Spectar Data Stream Service
TCP,3835,Spectar Database Rights Service
UDP,3835,Spectar Database Rights Service
TCP,3836,MARKEM NEXTGEN DCP
UDP,3836,MARKEM NEXTGEN DCP
TCP,3837,MARKEM Auto-Discovery
UDP,3837,MARKEM Auto-Discovery
TCP,3838,Scito Object Server
UDP,3838,Scito Object Server
TCP,3839,AMX Resource Management Suite
UDP,3839,AMX Resource Management Suite
TCP,3840,www.FlirtMitMir.de
UDP,3840,www.FlirtMitMir.de
TCP,3841,ShipRush Database Server
UDP,3841,Reserved
TCP,3842,NHCI status port
UDP,3842,NHCI status port
TCP,3843,Quest Common Agent
UDP,3843,Quest Common Agent
TCP,3844,RNM
UDP,3844,RNM
TCP,3845,V-ONE Single Port Proxy
UDP,3845,V-ONE Single Port Proxy
TCP,3846,Astare Network PCP
UDP,3846,Astare Network PCP
TCP,3847,MS Firewall Control
UDP,3847,MS Firewall Control
TCP,3848,IT Environmental Monitor
UDP,3848,IT Environmental Monitor
TCP,3849,SPACEWAY DNS Preload
UDP,3849,SPACEWAY DNS Preload
TCP,3850,QTMS Bootstrap Protocol
UDP,3850,QTMS Bootstrap Protocol
TCP,3851,SpectraTalk Port
UDP,3851,SpectraTalk Port
TCP,3852,SSE App Configuration
UDP,3852,SSE App Configuration
TCP,3853,SONY scanning protocol
UDP,3853,SONY scanning protocol
TCP,3854,Stryker Comm Port
UDP,3854,Stryker Comm Port
TCP,3855,OpenTRAC
UDP,3855,OpenTRAC
TCP,3856,INFORMER
UDP,3856,INFORMER
TCP,3857,Trap Port
UDP,3857,Trap Port
TCP,3858,Trap Port MOM
UDP,3858,Trap Port MOM
TCP,3859,Navini Port
UDP,3859,Navini Port
TCP,3860,Server/Application State Protocol (SASP)
UDP,3860,Server/Application State Protocol (SASP)
TCP,3861,winShadow Host Discovery
UDP,3861,winShadow Host Discovery
TCP,3862,GIGA-POCKET
UDP,3862,GIGA-POCKET
TCP,3863,asap tcp port
UDP,3863,asap udp port
SCTP,3863,asap sctp
TCP,3864,asap/tls tcp port
UDP,3864,Reserved
SCTP,3864,asap-sctp/tls
TCP,3865,xpl automation protocol
UDP,3865,xpl automation protocol
TCP,3866,Sun SDViz DZDAEMON Port
UDP,3866,Sun SDViz DZDAEMON Port
TCP,3867,Sun SDViz DZOGLSERVER Port
UDP,3867,Sun SDViz DZOGLSERVER Port
TCP,3868,DIAMETER
UDP,3868,Reserved
SCTP,3868,DIAMETER
TCP,3869,hp OVSAM MgmtServer Disco
UDP,3869,hp OVSAM MgmtServer Disco
TCP,3870,hp OVSAM HostAgent Disco
UDP,3870,hp OVSAM HostAgent Disco
TCP,3871,Avocent DS Authorization
UDP,3871,Avocent DS Authorization
TCP,3872,OEM Agent
UDP,3872,OEM Agent
TCP,3873,fagordnc
UDP,3873,fagordnc
TCP,3874,SixXS Configuration
UDP,3874,SixXS Configuration
TCP,3875,PNBSCADA
UDP,3875,PNBSCADA
TCP,3876,DirectoryLockdown Agent
UDP,3876,DirectoryLockdown Agent
TCP,3877,XMPCR Interface Port
UDP,3877,XMPCR Interface Port
TCP,3878,FotoG CAD interface
UDP,3878,FotoG CAD interface
TCP,3879,appss license manager
UDP,3879,appss license manager
TCP,3880,IGRS
UDP,3880,IGRS
TCP,3881,Data Acquisition and Control
UDP,3881,Data Acquisition and Control
TCP,3882,DTS Service Port
UDP,3882,DTS Service Port
TCP,3883,VR Peripheral Network
UDP,3883,VR Peripheral Network
TCP,3884,SofTrack Metering
UDP,3884,SofTrack Metering
TCP,3885,TopFlow SSL
UDP,3885,TopFlow SSL
TCP,3886,NEI management port
UDP,3886,NEI management port
TCP,3887,Ciphire Data Transport
UDP,3887,Ciphire Data Transport
TCP,3888,Ciphire Services
UDP,3888,Ciphire Services
TCP,3889,D and V Tester Control Port
UDP,3889,D and V Tester Control Port
TCP,3890,Niche Data Server Connect
UDP,3890,Niche Data Server Connect
TCP,3891,Oracle RTC-PM port
UDP,3891,Oracle RTC-PM port
TCP,3892,PCC-image-port
UDP,3892,PCC-image-port
TCP,3893,CGI StarAPI Server
UDP,3893,CGI StarAPI Server
TCP,3894,SyAM Agent Port
UDP,3894,SyAM Agent Port
TCP,3895,SyAm SMC Service Port
UDP,3895,SyAm SMC Service Port
TCP,3896,Simple Distributed Objects over TLS
UDP,3896,Simple Distributed Objects over TLS
TCP,3897,Simple Distributed Objects over SSH
UDP,3897,Simple Distributed Objects over SSH
TCP,3898,"""IAS"
UDP,3898,"""IAS"
TCP,3899,ITV Port
UDP,3899,ITV Port
TCP,3900,Unidata UDT OS
UDP,3900,Unidata UDT OS
TCP,3901,NIM Service Handler
UDP,3901,NIM Service Handler
TCP,3902,NIMsh Auxiliary Port
UDP,3902,NIMsh Auxiliary Port
TCP,3903,CharsetMGR
UDP,3903,CharsetMGR
TCP,3904,Arnet Omnilink Port
UDP,3904,Arnet Omnilink Port
TCP,3905,Mailbox Update (MUPDATE) protocol
UDP,3905,Mailbox Update (MUPDATE) protocol
TCP,3906,TopoVista elevation data
UDP,3906,TopoVista elevation data
TCP,3907,Imoguia Port
UDP,3907,Imoguia Port
TCP,3908,HP Procurve NetManagement
UDP,3908,HP Procurve NetManagement
TCP,3909,SurfControl CPA
UDP,3909,SurfControl CPA
TCP,3910,Printer Request Port
UDP,3910,Printer Request Port
TCP,3911,Printer Status Port
UDP,3911,Printer Status Port
TCP,3912,Global Maintech Stars
UDP,3912,Global Maintech Stars
TCP,3913,ListCREATOR Port
UDP,3913,ListCREATOR Port
TCP,3914,ListCREATOR Port 2
UDP,3914,ListCREATOR Port 2
TCP,3915,Auto-Graphics Cataloging
UDP,3915,Auto-Graphics Cataloging
TCP,3916,WysDM Controller
UDP,3916,WysDM Controller
TCP,3917,AFT multiplex port
UDP,3917,AFT multiplex port
TCP,3918,PacketCableMultimediaCOPS
UDP,3918,PacketCableMultimediaCOPS
TCP,3919,HyperIP
UDP,3919,HyperIP
TCP,3920,Exasoft IP Port
UDP,3920,Exasoft IP Port
TCP,3921,Herodotus Net
UDP,3921,Herodotus Net
TCP,3922,Soronti Update Port
UDP,3922,Soronti Update Port
TCP,3923,Symbian Service Broker
UDP,3923,Symbian Service Broker
TCP,3924,MPL_GPRS_PORT
UDP,3924,MPL_GPRS_Port
TCP,3925,Zoran Media Port
UDP,3925,Zoran Media Port
TCP,3926,WINPort
UDP,3926,WINPort
TCP,3927,ScsTsr
UDP,3927,ScsTsr
TCP,3928,PXE NetBoot Manager
UDP,3928,PXE NetBoot Manager
TCP,3929,AMS Port
UDP,3929,AMS Port
TCP,3930,Syam Web Server Port
UDP,3930,Syam Web Server Port
TCP,3931,MSR Plugin Port
UDP,3931,MSR Plugin Port
TCP,3932,Dynamic Site System
UDP,3932,Dynamic Site System
TCP,3933,PL/B App Server User Port
UDP,3933,PL/B App Server User Port
TCP,3934,PL/B File Manager Port
UDP,3934,PL/B File Manager Port
TCP,3935,SDP Port Mapper Protocol
UDP,3935,SDP Port Mapper Protocol
TCP,3936,Mailprox
UDP,3936,Mailprox
TCP,3937,DVB Service Discovery
UDP,3937,DVB Service Discovery
TCP,3938,Oracle dbControl Agent po
UDP,3938,Oracle dbControl Agent po
TCP,3939,Anti-virus Application Management Port
UDP,3939,Anti-virus Application Management Port
TCP,3940,XeCP Node Service
UDP,3940,XeCP Node Service
TCP,3941,Home Portal Web Server
UDP,3941,Home Portal Web Server
TCP,3942,satellite distribution
UDP,3942,satellite distribution
TCP,3943,TetraNode Ip Gateway
UDP,3943,TetraNode Ip Gateway
TCP,3944,S-Ops Management
UDP,3944,S-Ops Management
TCP,3945,EMCADS Server Port
UDP,3945,EMCADS Server Port
TCP,3946,BackupEDGE Server
UDP,3946,BackupEDGE Server
TCP,3947,"""Connect and Control Protocol for Consumer"
UDP,3947,"""Connect and Control Protocol for Consumer"
TCP,3948,Anton Paar Device Administration Protocol
UDP,3948,Anton Paar Device Administration Protocol
TCP,3949,Dynamic Routing Information Protocol
UDP,3949,Dynamic Routing Information Protocol
TCP,3950,Name Munging
UDP,3950,Name Munging
TCP,3951,PWG IPP Facsimile
UDP,3951,PWG IPP Facsimile
TCP,3952,I3 Session Manager
UDP,3952,I3 Session Manager
TCP,3953,Eydeas XMLink Connect
UDP,3953,Eydeas XMLink Connect
TCP,3954,AD Replication RPC
UDP,3954,AD Replication RPC
TCP,3955,p2pCommunity
UDP,3955,p2pCommunity
TCP,3956,GigE Vision Control
UDP,3956,GigE Vision Control
TCP,3957,MQEnterprise Broker
UDP,3957,MQEnterprise Broker
TCP,3958,MQEnterprise Agent
UDP,3958,MQEnterprise Agent
TCP,3959,Tree Hopper Networking
UDP,3959,Tree Hopper Networking
TCP,3960,Bess Peer Assessment
UDP,3960,Bess Peer Assessment
TCP,3961,ProAxess Server
UDP,3961,ProAxess Server
TCP,3962,SBI Agent Protocol
UDP,3962,SBI Agent Protocol
TCP,3963,Teran Hybrid Routing Protocol
UDP,3963,Teran Hybrid Routing Protocol
TCP,3964,SASG GPRS
UDP,3964,SASG GPRS
TCP,3965,Avanti IP to NCPE API
UDP,3965,Avanti IP to NCPE API
TCP,3966,BuildForge Lock Manager
UDP,3966,BuildForge Lock Manager
TCP,3967,PPS Message Service
UDP,3967,PPS Message Service
TCP,3968,iAnywhere DBNS
UDP,3968,iAnywhere DBNS
TCP,3969,Landmark Messages
UDP,3969,Landmark Messages
TCP,3970,LANrev Agent
UDP,3970,LANrev Agent
TCP,3971,LANrev Server
UDP,3971,LANrev Server
TCP,3972,ict-control Protocol
UDP,3972,ict-control Protocol
TCP,3973,ConnectShip Progistics
UDP,3973,ConnectShip Progistics
TCP,3974,Remote Applicant Tracking Service
UDP,3974,Remote Applicant Tracking Service
TCP,3975,Air Shot
UDP,3975,Air Shot
TCP,3976,Server Automation Agent
UDP,3976,Server Automation Agent
TCP,3977,Opsware Manager
UDP,3977,Opsware Manager
TCP,3978,Secured Configuration Server
UDP,3978,Secured Configuration Server
TCP,3979,Smith Micro Wide Area Network Service
UDP,3979,Smith Micro Wide Area Network Service
TCP,3980,Reserved
UDP,3980,Reserved
TCP,3981,Starfish System Admin
UDP,3981,Starfish System Admin
TCP,3982,ESRI Image Server
UDP,3982,ESRI Image Server
TCP,3983,ESRI Image Service
UDP,3983,ESRI Image Service
TCP,3984,MAPPER network node manager
UDP,3984,MAPPER network node manager
TCP,3985,MAPPER TCP/IP server
UDP,3985,MAPPER TCP/IP server
TCP,3986,MAPPER workstation server
UDP,3986,MAPPER workstation server
TCP,3987,Centerline
UDP,3987,Centerline
TCP,3988,DCS Configuration Port
UDP,3988,DCS Configuration Port
TCP,3989,BindView-Query Engine
UDP,3989,BindView-Query Engine
TCP,3990,BindView-IS
UDP,3990,BindView-IS
TCP,3991,BindView-SMCServer
UDP,3991,BindView-SMCServer
TCP,3992,BindView-DirectoryServer
UDP,3992,BindView-DirectoryServer
TCP,3993,BindView-Agent
UDP,3993,BindView-Agent
TCP,3995,ISS Management Svcs SSL
UDP,3995,ISS Management Svcs SSL
TCP,3996,abcsoftware-01
UDP,3996,abcsoftware-01
TCP,3997,aes_db
UDP,3997,aes_db
TCP,3998,Distributed Nagios Executor Service
UDP,3998,Distributed Nagios Executor Service
TCP,3999,Norman distributes scanning service
UDP,3999,Norman distributes scanning service
TCP,4000,Terabase
UDP,4000,Terabase
TCP,4001,NewOak
UDP,4001,NewOak
TCP,4002,pxc-spvr-ft
UDP,4002,pxc-spvr-ft
TCP,4003,pxc-splr-ft
UDP,4003,pxc-splr-ft
TCP,4004,pxc-roid
UDP,4004,pxc-roid
TCP,4005,pxc-pin
UDP,4005,pxc-pin
TCP,4006,pxc-spvr
UDP,4006,pxc-spvr
TCP,4007,pxc-splr
UDP,4007,pxc-splr
TCP,4008,NetCheque accounting
UDP,4008,NetCheque accounting
TCP,4009,Chimera HWM
UDP,4009,Chimera HWM
TCP,4010,Samsung Unidex
UDP,4010,Samsung Unidex
TCP,4011,Alternate Service Boot
UDP,4011,Alternate Service Boot
TCP,4012,PDA Gate
UDP,4012,PDA Gate
TCP,4013,ACL Manager
UDP,4013,ACL Manager
TCP,4014,TAICLOCK
UDP,4014,TAICLOCK
TCP,4015,Talarian Mcast
UDP,4015,Talarian Mcast
TCP,4016,Talarian Mcast
UDP,4016,Talarian Mcast
TCP,4017,Talarian Mcast
UDP,4017,Talarian Mcast
TCP,4018,Talarian Mcast
UDP,4018,Talarian Mcast
TCP,4019,Talarian Mcast
UDP,4019,Talarian Mcast
TCP,4020,TRAP Port
UDP,4020,TRAP Port
TCP,4021,Nexus Portal
UDP,4021,Nexus Portal
TCP,4022,DNOX
UDP,4022,DNOX
TCP,4023,ESNM Zoning Port
UDP,4023,ESNM Zoning Port
TCP,4024,TNP1 User Port
UDP,4024,TNP1 User Port
TCP,4025,Partition Image Port
UDP,4025,Partition Image Port
TCP,4026,Graphical Debug Server
UDP,4026,Graphical Debug Server
TCP,4027,bitxpress
UDP,4027,bitxpress
TCP,4028,DTServer Port
UDP,4028,DTServer Port
TCP,4029,IP Q signaling protocol
UDP,4029,IP Q signaling protocol
TCP,4030,Accell/JSP Daemon Port
UDP,4030,Accell/JSP Daemon Port
TCP,4031,UUCP over SSL
UDP,4031,UUCP over SSL
TCP,4032,VERITAS Authorization Service
UDP,4032,VERITAS Authorization Service
TCP,4033,SANavigator Peer Port
UDP,4033,SANavigator Peer Port
TCP,4034,Ubiquinox Daemon
UDP,4034,Ubiquinox Daemon
TCP,4035,WAP Push OTA-HTTP port
UDP,4035,WAP Push OTA-HTTP port
TCP,4036,WAP Push OTA-HTTP secure
UDP,4036,WAP Push OTA-HTTP secure
TCP,4037,RaveHD network control
UDP,4037,RaveHD network control
TCP,4038,Fazzt Point-To-Point
UDP,4038,Fazzt Point-To-Point
TCP,4039,Fazzt Administration
UDP,4039,Fazzt Administration
TCP,4040,Yo.net main service
UDP,4040,Yo.net main service
TCP,4041,Rocketeer-Houston
UDP,4041,Rocketeer-Houston
TCP,4042,LDXP
UDP,4042,LDXP
TCP,4043,Neighbour Identity Resolution
UDP,4043,Neighbour Identity Resolution
TCP,4044,Location Tracking Protocol
UDP,4044,Location Tracking Protocol
TCP,4045,Network Paging Protocol
UDP,4045,Network Paging Protocol
TCP,4046,Accounting Protocol
UDP,4046,Accounting Protocol
TCP,4047,Context Transfer Protocol
UDP,4047,Context Transfer Protocol
TCP,4049,Wide Area File Services
UDP,4049,Wide Area File Services
TCP,4050,Wide Area File Services
UDP,4050,Wide Area File Services
TCP,4051,Cisco Peer to Peer Distribution Protocol
UDP,4051,Cisco Peer to Peer Distribution Protocol
TCP,4052,VoiceConnect Interact
UDP,4052,VoiceConnect Interact
TCP,4053,CosmoCall Universe Communications Port 1
UDP,4053,CosmoCall Universe Communications Port 1
TCP,4054,CosmoCall Universe Communications Port 2
UDP,4054,CosmoCall Universe Communications Port 2
TCP,4055,CosmoCall Universe Communications Port 3
UDP,4055,CosmoCall Universe Communications Port 3
TCP,4056,Location Message Service
UDP,4056,Location Message Service
TCP,4057,Servigistics WFM server
UDP,4057,Servigistics WFM server
TCP,4058,Kingfisher protocol
UDP,4058,Kingfisher protocol
TCP,4059,DLMS/COSEM
UDP,4059,DLMS/COSEM
TCP,4060,DSMETER Inter-Agent Transfer Channel
UDP,4060,DSMETER Inter-Agent Transfer Channel
TCP,4061,Ice Location Service (TCP)
UDP,4061,Ice Location Service (TCP)
TCP,4062,Ice Location Service (SSL)
UDP,4062,Ice Location Service (SSL)
TCP,4063,Ice Firewall Traversal Service (TCP)
UDP,4063,Ice Firewall Traversal Service (TCP)
TCP,4064,Ice Firewall Traversal Service (SSL)
UDP,4064,Ice Firewall Traversal Service (SSL)
TCP,4065,Avanti Common Data
UDP,4065,Avanti Common Data
TCP,4066,Performance Measurement and Analysis
UDP,4066,Performance Measurement and Analysis
TCP,4067,Information Distribution Protocol
UDP,4067,Information Distribution Protocol
TCP,4068,IP Fleet Broadcast
UDP,4068,IP Fleet Broadcast
TCP,4069,Minger Email Address Validation Service
UDP,4069,Minger Email Address Validation Service
TCP,4070,Trivial IP Encryption (TrIPE)
UDP,4070,Trivial IP Encryption (TrIPE)
TCP,4071,Automatically Incremental Backup
UDP,4071,Automatically Incremental Backup
TCP,4072,Zieto Socket Communications
UDP,4072,Zieto Socket Communications
TCP,4073,Interactive Remote Application Pairing Protocol
UDP,4073,Interactive Remote Application Pairing Protocol
TCP,4074,Cequint City ID UI trigger
UDP,4074,Cequint City ID UI trigger
TCP,4075,ISC Alarm Message Service
UDP,4075,ISC Alarm Message Service
TCP,4076,Seraph DCS
UDP,4076,Seraph DCS
TCP,4077,Reserved
UDP,4077,Ascom IP Alarming
TCP,4078,Coordinated Security Service Protocol
UDP,4078,Reserved
TCP,4079,SANtools Diagnostic Server
UDP,4079,SANtools Diagnostic Server
TCP,4080,Lorica inside facing
UDP,4080,Lorica inside facing
TCP,4081,Lorica inside facing (SSL)
UDP,4081,Lorica inside facing (SSL)
TCP,4082,Lorica outside facing
UDP,4082,Lorica outside facing
TCP,4083,Lorica outside facing (SSL)
UDP,4083,Lorica outside facing (SSL)
